form	lemma	pos	context	meaning
μέθυ	μέθυ	noun	IX.162: ἄσπετα καὶ μέθυ ἡδύ	вин. п. ед. ч. — вино
ἡδύ	ἡδύς	adj	IX.162: καὶ μέθυ ἡδύ	вин. п. ед. ч. ср. рода — сладкое, приятное
πω	πω	adv	IX.163: οὐ γάρ πω νηῶν ἐξέφθιτο	для усиления отрицания, напр. ещё
ἐξέφθιτο	ἐκφθίνω	verb	IX.163: πω νηῶν ἐξέφθιτο οἶνος	3 л. ед. ч. медиал. имперфекта — иссякло, закончилось
οἶνος	οἶνος	noun	IX.163: ἐξέφθιτο οἶνος ἐρυθρός	вино
ἐρυθρός	ἐρυθρός	adj	IX.163: οἶνος ἐρυθρός	им. п. ед. ч. муж. рода — красный
ἐνέην	ἔνειμι	verb	IX.164: ἀλλ' ἐνέην· πολλὸν γὰρ	3 л. ед. ч. активного имперфекта — было в наличии, оставалось
πολλὸν	πολύς	adj	IX.164: ἐνέην· πολλὸν γὰρ ἐν	вин. п. ед. ч. ср. рода — много
ἀμφιφορεῦσιν	ἀμφιφορεύς	noun	IX.164: πολλὸν γὰρ ἐν ἀμφιφορεῦσιν ἕκαστοι	дат. п. мн. ч. — амфорах
ἕκαστοι	ἕκαστος	pronoun	IX.164: ἐν ἀμφιφορεῦσιν ἕκαστοι	им. п. мн. ч. — каждые, все
ἠφύσαμεν	ἀφύσσω	verb	IX.165: ἠφύσαμεν Κικόνων ἱερὸν	1 л. мн. ч. активного аориста — начерпали, налили
ἑλόντες	αἱρέω	verb	IX.165: πτολίεθρον ἑλόντες	причастие активного аориста, им. п. мн. ч. муж. рода — взяв, захватив
γαῖαν	γαῖα	noun	IX.166: Κυκλώπων δ' ἐς γαῖαν ἐλεύσσομεν	вин. п. ед. ч. — землю, страну
ἐλεύσσομεν	λεύσσω	verb	IX.166: ἐς γαῖαν ἐλεύσσομεν ἐγγὺς	1 л. мн. ч. активного имперфекта — смотрели, вглядывались
ἐγγὺς	ἐγγύς	adv	IX.166: ἐλεύσσομεν ἐγγὺς ἐόντων	близко, поблизости
ἐόντων	εἰμί	verb	IX.166: ἐγγὺς ἐόντων	причастие активного презенса, род. п. мн. ч. муж. рода — находившихся (гомеровское ἐών, ἐόντος — ср. аттическое ὤν, ὄντος)
καπνόν	καπνός	noun	IX.167: καπνόν τ' αὐτῶν τε φθογγὴν	вин. п. ед. ч. — дым
φθογγήν	φθογγή	noun	IX.167: αὐτῶν τε φθογγὴν οἴων	вин. п. ед. ч. — голос, звук
οἴων	ὄϊς	noun	IX.167: φθογγὴν οἴων τε καὶ αἰγῶν	род. п. мн. ч. — овец
αἰγῶν	αἴξ	noun	IX.167: οἴων τε καὶ αἰγῶν	род. п. мн. ч. — коз
κατέδυ	καταδύω	verb	IX.168: ἦμος δ' ἠέλιος κατέδυ καὶ	3 л. ед. ч. активного аориста — зашло
κνέφας	κνέφας	noun	IX.168: κατέδυ καὶ ἐπὶ κνέφας ἦλθεν	вин. п. ед. ч. — сумерки, тьма
ἦλθεν	ἔρχομαι	verb	IX.168: ἐπὶ κνέφας ἦλθεν	3 л. ед. ч. активного аориста — пришла, наступила
κοιμήθημεν	κοιμάω	verb	IX.169: δὴ τότε κοιμήθημεν ἐπὶ	1 л. мн. ч. пассивного аориста — легли спать, уснули
ἐγών	ἐγώ	pronoun	IX.171: καὶ τότ' ἐγὼν ἀγορὴν θέμενος	= ἐγώ (по метрическим причинам) — я
ἀγορήν	ἀγορή	noun	IX.171: τότ' ἐγὼν ἀγορὴν θέμενος μετὰ	вин. п. ед. ч. — собрание, сход
θέμενος	τίθημι	verb	IX.171: ἀγορὴν θέμενος μετὰ πᾶσιν	причастие мед. аориста, им. п. ед. ч. муж. рода — устроив, созвав
μετά	μετά	prep	IX.171: θέμενος μετὰ πᾶσιν ἔειπον	среди + дат.п.
πᾶσιν	πᾶς	pronoun	IX.171: μετὰ πᾶσιν ἔειπον	дат. п. мн. ч. — всех
ἔειπον	εἶπον	verb	IX.171: πᾶσιν ἔειπον	1 л. ед. ч. активного аориста — сказал (в классическом аттическом презенс к этому глаголу — λέγω)
ἄλλοι	ἄλλος	pronoun	IX.172: ἄλλοι μὲν νῦν μίμνετ'	им. п. мн. ч. — другие
νῦν	νῦν	adv	IX.172: ἄλλοι μὲν νῦν μίμνετ'	теперь
μίμνετ'	μίμνω	verb	IX.172: μὲν νῦν μίμνετ', ἐμοὶ ἐρίηρες	2 л. мн. ч. активного презенса императива (= μίμνετε) — оставайтесь
ἐρίηρες	ἐρίηρος	adj	IX.172: μίμνετ', ἐμοὶ ἐρίηρες ἑταῖροι	им. п. мн. ч. — верные, надёжные (всегда эпитет ἑταῖροι)
αὐτάρ	αὐτάρ	conj	IX.173: αὐτὰρ ἐγὼ σὺν νηΐ τ'	но, а
σύν	σύν	prep	IX.173: ἐγὼ σὺν νηΐ τ' ἐμῇ	с + дат.п.
ἐμῇ	ἐμός	pronoun	IX.173: σὺν νηΐ τ' ἐμῇ καὶ	дат. п. ед. ч. жен. рода — моим
ἑτάροισιν	ἑταῖρος	noun	IX.173: καὶ ἐμοῖς ἑτάροισιν	дат. п. мн. ч. — спутниками (в зависимости от нужд метра у Гомера встречается либо «привычный» аттический дат.п. множ.ч. на οις, либо эпический на οισι(ν))
ἐλθών	ἔρχομαι	verb	IX.174: ἐλθὼν τῶνδ' ἀνδρῶν πειρήσομαι	причастие активного аориста, им. п. ед. ч. муж. рода — придя
τῶνδε	ὅδε	pronoun	IX.174: ἐλθὼν τῶνδ' ἀνδρῶν πειρήσομαι	род. п. мн. ч. — этих
πειρήσομαι	πειράω	verb	IX.174: τῶνδ' ἀνδρῶν πειρήσομαι, οἵ τινές	1 л. ед. ч. медиал. будущего — испытаю, узнаю
οἵ τινές	ὅστις	pronoun	IX.174: πειρήσομαι, οἵ τινές εἰσιν	им. п. мн. ч. муж. р. — зд. каковы
εἰσιν	εἰμί	verb	IX.174: οἵ τινές εἰσιν	3 л. мн. ч. активного презенса — они есть
ὑβρισταί	ὑβριστής	noun	IX.175: ἤ ῥ' οἵ γ' ὑβρισταί τε καὶ	им. п. мн. ч. — дерзкие, надменные, нахалы
ἄγριοι	ἄγριος	adj	IX.175: ὑβρισταί τε καὶ ἄγριοι οὐδὲ	им. п. мн. ч. — дикие
δίκαιοι	δίκαιος	adj	IX.175: ἄγριοι οὐδὲ δίκαιοι	им. п. мн. ч. — справедливые
ἦε	ἤ	conj	IX.176: ἦε φιλόξεινοι, καί σφιν	(= ἤ) — или
φιλόξεινοι	φιλόξεινος	adj	IX.176: ἦε φιλόξεινοι, καί σφιν νόος	им. п. мн. ч. — гостеприимные
θεουδής	θεουδής	adj	IX.176: καί σφιν νόος ἐστὶ θεουδής	богобоязненный, чтящий богов
ἀνά	ἀνά	prep	IX.177: ὣς εἰπὼν ἀνὰ νηὸς ἔβην	тмесис: ἀνά...ἔβην = ἀναβαίνω (взойти); здесь отделено от глагола словом νηός
ἔβην	ἀναβαίνω	verb	IX.177: ἀνὰ νηὸς ἔβην, ἐκέλευσα	1 л. ед. ч. активного аориста — взошёл (тмесис ἀνά + ἔβην)
ἐκέλευσα	κελεύω	verb	IX.177: ἔβην, ἐκέλευσα δ' ἑταίρους	1 л. ед. ч. активного аориста — приказал (дальше конструкция Accusativus cum infinitivo, Винительный с инфинитивом)
ἑταίρους	ἑταῖρος	noun	IX.177: ἐκέλευσα δ' ἑταίρους	вин. п. мн. ч. — чтобы товарищи
αὐτούς	αὐτός	pronoun	IX.178: αὐτούς τ' ἀμβαίνειν ἀνά τε	вин. п. мн. ч. — сами
ἀμβαίνειν	ἀμβαίνω	verb	IX.178: αὐτούς τ' ἀμβαίνειν ἀνά τε πρυμνήσια	инфинитив активного презенса (= ἀναβαίνω) — взошли
πρυμνήσια	πρυμνήσιον	noun	IX.178: ἀνά τε πρυμνήσια λῦσαι	вин. п. мн. ч. — кормовые причальные канаты
λῦσαι	ἀναλύω	verb	IX.178: πρυμνήσια λῦσαι	инфинитив активного аориста — отвязать (тмесис ἀνά + λῦσαι)
εἴσβαινον	εἰσβαίνω	verb	IX.179: οἳ δ' αἶψ' εἴσβαινον καὶ	3 л. мн. ч. активного имперфекта — стали входить
κληῗσι	κληΐς	noun	IX.179: καὶ ἐπὶ κληῗσι καθῖζον	дат. п. мн. ч. — скамьях для гребцов
καθῖζον	καθίζω	verb	IX.179: ἐπὶ κληῗσι καθῖζον	3 л. мн. ч. активного имперфекта — стали садиться
ἑξῆς	ἑξῆς	adv	IX.180: ἑξῆς δ' ἑζόμενοι πολιὴν	подряд, один за другим, по порядку
ἑζόμενοι	ἕζομαι	verb	IX.180: ἑξῆς δ' ἑζόμενοι πολιὴν ἅλα	причастие медиал. презенса, им. п. мн. ч. муж. рода — усаживаясь, сидя
τύπτον	τύπτω	verb	IX.180: ἅλα τύπτον ἐρετμοῖς	3 л. мн. ч. активного имперфекта — стали ударять
ἐρετμοῖς	ἐρετμόν	noun	IX.180: τύπτον ἐρετμοῖς	дат. п. мн. ч. — вёслами
