form	lemma	pos	context	meaning
ἀντιθέῳ	ἀντίθεος	adj	I.21: ἀντιθέῳ Ὀδυσῆι πάρος ἣν γαῖαν ἱκέσθαι	godlike (dative of ἀντίθεος)
γαῖαν	γαῖα	noun	I.21: πάρος ἣν γαῖαν ἱκέσθαι	land (accusative of γαῖα)
μοι	ἐγώ	pronoun	I.1: Ἄνδρα μοι ἔννεπε	to me (dative of ἐγώ)
μοῦσα	μοῦσα	noun	I.1: Ἄνδρα μοι ἔννεπε, μοῦσα	muse
ὃς	ὅς	pronoun	I.1: ὃς μάλα πολλὰ πλάγχθη	who, which
μάλα	μάλα	adv	I.1: ὃς μάλα πολλὰ πλάγχθη	very, greatly
πολλὰ	πολύς	adj	I.1: μάλα πολλὰ πλάγχθη	"much, many things (neuter plural of πολύς, πολλή, πολύ, ""much, many"")"
ἐπεὶ	ἐπεί	conj	I.2: πλάγχθη, ἐπεὶ Τροίης ἱερὸν πτολίεθρον	when, since
Τροίης	Τροία	name	I.2: ἐπεὶ Τροίης ἱερὸν πτολίεθρον	"genitive singular [of Τροία, ""Troy""]"
πολλῶν	πολύς	adj	I.3: πολλῶν δ' ἀνθρώπων ἴδεν ἄστεα	genitive plural of πολύς
δ᾽	δέ	particle	I.3: πολλῶν δ᾽ ἀνθρώπων	"connective particle δέ (""and, but, on the other hand"")"
καὶ	καί	conj	I.3: καὶ νόον ἔγνω	and
ὅ	ὅς	pronoun	I.3-4: ὅ γ' ἐν πόντῳ πάθεν	which, that (neuter)
γ᾽	γε	particle	I.4: ὅ γ' ἐν πόντῳ πάθεν	"particle γε (here intensive: ""indeed, moreover, and also"")"
ἐν	ἐν	prep	I.4: ἐν πόντῳ πάθεν ἄλγεα	in, within (preposition with dative, expressing place)
ὃν	ὅς	pronoun	I.4: πάθεν ἄλγεα ὃν κατὰ θυμόν	"here ""his own"" (masculine accusative of ὅς, ἥ, ὅ, here used possessively)"
κατὰ	κατά	prep	I.4: ὃν κατὰ θυμόν	in, according to (preposition with accusative)
ἥν	ὅς	pronoun	I.5: ἀρνύμενος ἥν τε ψυχὴν	his own (feminine accusative of ὅς, ἥ, ὅ, here used possessively)
τε	τε	particle	I.5: ἥν τε ψυχὴν καὶ νόστον	and (often paired with καί)
ἀλλ᾽	ἀλλά	conj	I.6: ἀλλ' οὐδ' ὣς ἑτάρους ἐρρύσατο	but (full form ἀλλά)
οὐδ᾽	οὐδέ	particle	I.6: ἀλλ' οὐδ' ὣς	and not (usually repeated, full form οὐδέ)
ὣς	ὅς	pronoun	I.6: οὐδ' ὣς ἑτάρους ἐρρύσατο	his own (accusative plural of ὅς, ἥ, ὅ, here used possessively)
περ	περ	particle	I.6: ἐρρύσατο, ἱέμενός περ	"concessive particle: ""although, even though"""
αὐτῶν	αὐτός	pronoun	I.7: αὐτῶν γὰρ σφετέρῃσιν	"themselves (genitive plural of αὐτός, ""self"")"
γὰρ	γάρ	particle	I.7: αὐτῶν γὰρ σφετέρῃσιν	"explanatory particle: ""for, because"""
σφετέρῃσιν	σφέτερος	pronoun	I.7: σφετέρῃσιν ἀτασθαλίῃσιν	"dative plural of σφέτερος, ""their own"""
οἳ	ὅς	pronoun	I.8: νήπιοι, οἳ κατὰ βοῦς Ὑπερίονος	who, which
Ὑπερίονος	Ὑπερίων	name	I.8: βοῦς Ὑπερίονος Ἠελίοιο	"of Hyperion (a standing epithet of Helios, literally ""the one going above,"" Ὑπερίων)"
Ἠελίοιο	Ἥλιος	name	I.8: Ὑπερίονος Ἠελίοιο ἤσθιον	of Helios (genitive of Ἥλιος)
αὐτὰρ	αὐτάρ	particle	I.9: αὐτὰρ ὁ τοῖσιν ἀφείλετο	but, however
ὁ	ὅς	pronoun	I.9: αὐτὰρ ὁ τοῖσιν	their (neuter of ὅς, ἥ, ὅ, here possessive), referring to ἦμαρ
τοῖσιν	ὅ	pronoun	I.9: αὐτὰρ ὁ τοῖσιν ἀφείλετο	to them (dative plural of ὁ, ἡ, τό, the article — and in Homer, a 3rd-person pronoun)
τῶν	ὅ	pronoun	I.10: τῶν ἁμόθεν γε, θεά	"here ""about them, about this"" (genitive plural masculine or neuter of ὁ, ἡ, τό)"
ἁμόθεν	ἁμόθεν	adv	I.10: τῶν ἁμόθεν γε, θεά	from somewhere, from some point
γε	γε	particle	I.10: ἁμόθεν γε, θεά	"here a clarifying particle: ""well, about this very..."""
εἰπὲ	λέγω	verb	I.10: εἰπὲ καὶ ἡμῖν	tell (aorist imperative of λέγω)
ἡμῖν	ἡμεῖς	pronoun	I.10: εἰπὲ καὶ ἡμῖν	to us (dative of ἡμεῖς)
Ἔνθ᾽	ἔνθα	adv	I.11: Ἔνθ' ἄλλοι μὲν πάντες	then, there
ἄλλοι	ἄλλος	adj	I.11: Ἔνθ' ἄλλοι μὲν πάντες	others (plural of ἄλλος)
μὲν	μέν	particle	I.11: ἄλλοι μὲν πάντες	particle paired with δέ, used to contrast two things; not translated
πάντες	πᾶς	adj	I.11: ἄλλοι μὲν πάντες	all (plural of πᾶς)
ὅσοι	ὅσος	pronoun	I.11: πάντες, ὅσοι φύγον αἰπὺν ὄλεθρον	as many as, who
οἴκοι	οἶκος	adv	I.12: οἴκοι ἔσαν	at home
ἔσαν	εἰμί	verb	I.12: οἴκοι ἔσαν	"were (imperfect of εἰμί, ""to be"")"
πεφευγότες	φεύγω	verb	I.12: πόλεμόν τε πεφευγότες ἠδὲ θάλασσαν	having escaped (perfect participle of φεύγω)
ἠδὲ	ἠδέ	particle	I.12: πεφευγότες ἠδὲ θάλασσαν	and, and also
τὸν	ὅ	pronoun	I.13: τὸν δ' οἶον	him
οἶον	οἶος	adj	I.13: τὸν δ' οἶον, νόστου κεχρημένον	alone (accusative of οἶος)
πότνι᾽	πότνια	noun	I.14: νύμφη πότνι' ἔρυκε Καλυψώ	lady, mistress (full form πότνια)
Καλυψὼ	Καλυψώ	name	I.14: νύμφη πότνι' ἔρυκε Καλυψώ	Calypso
δῖα	δῖος	adj	I.14: δῖα θεάων	divine, glorious, radiant
ὅτε	ὅτε	conj	I.16: ἀλλ' ὅτε δὴ ἔτος ἦλθε	when
δὴ	δή	particle	I.16: ὅτε δὴ ἔτος ἦλθε	"intensifying particle, ""indeed, surely, precisely,"" or a logical transition ""and now already"""
τῷ	ὅ	pronoun	I.17: τῷ οἱ ἐπεκλώσαντο θεοὶ	"here ""in which"""
οἱ	αὐτός	pronoun	I.17: τῷ οἱ ἐπεκλώσαντο θεοὶ	to him
οἶκόνδε	οἶκος	adv	I.17: θεοὶ οἶκόνδε νέεσθαι	"homeward (cf. οἶκος, ""house, home"")"
εἰς	εἰς	prep	I.18: εἰς Ἰθάκην	into, onto (with accusative, expressing direction)
Ἰθάκην	Ἰθάκη	name	I.18: εἰς Ἰθάκην	Ithaca (accusative of Ἰθάκη)
πεφυγμένος ἦεν	φεύγω	verb	I.18: πεφυγμένος ἦεν ἀέθλων	had escaped (middle pluperfect of φεύγω)
μετὰ	μετά	prep	I.19: μετ' ἀθανάτοισι φίλοισι	with, together with (with dative)
οἷσι	ὅς	pronoun	I.19: μετ' ἀθανάτοισι… οἷσι φίλοισι	his own
ἅπαντες	ἅπας	adj	I.19: θεοὶ δ' ἐλέαιρον ἅπαντες	"= πάντες (""all"")"
νόσφι	νόσφι	prep	I.20: νόσφι Ποσειδάωνος	except, apart from
Ποσειδάωνος	Ποσειδῶν	name	I.20: νόσφι Ποσειδάωνος	of Poseidon (genitive of Ποσειδῶν)
ἀσπερχὲς	ἀσπερχές	adv	I.20: ὁ δ' ἀσπερχὲς μενέαινεν	ceaselessly, relentlessly
πάρος	πάρος	adv	I.21: πάρος ἣν γαῖαν ἱκέσθαι	until, before
ἣν	ὅς	pronoun	I.21: πάρος ἣν γαῖαν ἱκέσθαι	"here ""into his own"""
