form	lemma	pos	context	meaning
ἀφείλετο	ἀφαιρέω	verb	I.9: τοῖσιν ἀφείλετο νόστιμον ἦμαρ	αφαιρέθηκε (μέσος αόριστος του ἀφαιρέω, «αφαιρώ»)
νόστιμον	νόστιμος	adj	I.9: ἀφείλετο νόστιμον ἦμαρ	«της επιστροφής» (πρβλ. νόστος, «επιστροφή»)
αἰπύν	αἰπύς	adj	I.11: ὅσοι φύγον αἰπὺν ὄλεθρον	απότομος, αιφνίδιος (αιτιατική του αἰπύς, «απόκρημνος, απότομος, ραγδαίος, βίαιος»)
πόλεμον	πόλεμος	noun	I.12: πόλεμόν τε πεφευγότες ἠδὲ θάλασσαν	πόλεμο (αιτιατική του πόλεμος)
θάλασσαν	θάλασσα	noun	I.12: πόλεμόν τε πεφευγότες ἠδὲ θάλασσαν	θάλασσα (αιτιατική του θάλασσα)
κεχρημένον	χράομαι	verb	I.13: τὸν δ' οἶον, νόστου κεχρημένον	στερημένος, έχοντας ανάγκη (μετοχή παρακειμένου του χράομαι, εδώ «έχω ανάγκη»)
ἔρυκε	ἐρύκω	verb	I.14: νύμφη πόντι' ἔρυκε Καλυψώ	κρατούσε, συγκρατούσε (παρατατικός του ἐρύκω, «συγκρατώ, εμποδίζω»)
θεάων	θεά	noun	I.14: δῖα θεάων	θεαινών (γενική πληθυντικού του θεά)
γλαφυροῖσι	γλαφυρός	adj	I.15: ἐν σπέσσι γλαφυροῖσι	κοίλες, βαθιές (δοτική πληθυντικού του γλαφυρός, «σκαμμένος, κοίλος, βαθύς»)
λιλαιομένη	λιλαίομαι	verb	I.15: λιλαιομένη πόσιν εἶναι	λαχταρώντας (μετοχή θηλυκού γένους του λιλαίομαι, «λαχταρώ, ποθώ»)
πόσιν	πόσις	noun	I.15: λιλαιομένη πόσιν εἶναι	σύζυγο (αιτιατική του πόσις)
ἦλθε	ἔρχομαι	verb	I.16: ἀλλ' ὅτε δὴ ἔτος ἦλθε	ήρθε (ενεργητικός αόριστος του ἔρχομαι)
περιπλομένων	περιπέλομαι	verb	I.16: ἔτος ἦλθε περιπλομένων ἐνιαυτῶν	γενική πληθυντικού της μετοχής ενεστώτα του περιπέλομαι, «περιστρέφομαι, γυρίζω»· εδώ μέρος σύνταξης που αποδίδεται «καθώς κύλησαν [τα χρόνια]»
ἐνιαυτῶν	ἐνιαυτός	noun	I.16: περιπλομένων ἐνιαυτῶν	ετών, χρόνων (γενική πληθυντικού του ἐνιαυτός, «μεγάλο χρονικό διάστημα, κύκλος, έτος»)
νέεσθαι	νέομαι	verb	I.17: ἐπεκλώσαντο θεοὶ οἰκόνδε νέεσθαι	να επιστρέψει, να φύγει (απαρέμφατο του νέομαι)
ἀέθλων	ἄεθλος	noun	I.18: οὐδ' ἔνθα πεφυγμένος ἦεν ἀέθλων	δοκιμασιών, άθλων (γενική πληθυντικού του ἆθλον, «αγώνας, πάλη, δοκιμασία»)
φίλοισι	φίλος	adj	I.19: καὶ μετ' ἀθανάτοισι φίλοισι	φίλους (δοτική πληθυντικού του φίλος)
ἐλέαιρον	ἐλεαίρω	verb	I.19: θεοὶ δ' ἐλέαιρον ἅπαντες	λυπούνταν, ήταν επιεικείς (παρατατικός του ἐλεαίρω)
μενέαινεν	μενεαίνω	verb	I.20: ὁ δ' ἀσπερχὲς μενέαινεν	οργιζόταν, μαινόταν (παρατατικός του μενεαίνω, «οργίζομαι, μαίνομαι»)
ἀντιθέῳ	ἀντίθεος	adj	I.21: ἀντιθέῳ Ὀδυσῆι πάρος ἣν γαῖαν ἱκέσθαι	ισόθεος (δοτική του ἀντίθεος)
γαῖαν	γαῖα	noun	I.21: πάρος ἣν γαῖαν ἱκέσθαι	γη (αιτιατική του γαῖα)
μοι	ἐγώ	pronoun	I.1: Ἄνδρα μοι ἔννεπε	σε μένα, μου (δοτική του ἐγώ)
μοῦσα	μοῦσα	noun	I.1: Ἄνδρα μοι ἔννεπε, μοῦσα	μούσα
ὃς	ὅς	pronoun	I.1: ὃς μάλα πολλὰ πλάγχθη	ο οποίος
μάλα	μάλα	adv	I.1: ὃς μάλα πολλὰ πλάγχθη	πολύ, πάρα πολύ
πολλὰ	πολύς	adj	I.1: μάλα πολλὰ πλάγχθη	πολλά (ουδέτερο πληθυντικού του πολύς, πολλή, πολύ)
ἐπεὶ	ἐπεί	conj	I.2: πλάγχθη, ἐπεὶ Τροίης ἱερὸν πτολίεθρον	όταν, αφού
Τροίης	Τροία	name	I.2: ἐπεὶ Τροίης ἱερὸν πτολίεθρον	γενική ενικού [του Τροία, «Τροία»]
πολλῶν	πολύς	adj	I.3: πολλῶν δ' ἀνθρώπων ἴδεν ἄστεα	γενική πληθυντικού του πολύς
δ᾽	δέ	particle	I.3: πολλῶν δ᾽ ἀνθρώπων	συνδετικό μόριο δέ («και, δε, αλλά»)
καὶ	καί	conj	I.3: καὶ νόον ἔγνω	και
ὅ	ὅς	pronoun	I.3-4: ὅ γ' ἐν πόντῳ πάθεν	το οποίο, που (ουδέτερο)
γ᾽	γε	particle	I.4: ὅ γ' ἐν πόντῳ πάθεν	μόριο γε (εδώ επιτατικά: «μάλιστα, επιπλέον, ακόμα και»)
ἐν	ἐν	prep	I.4: ἐν πόντῳ πάθεν ἄλγεα	σε, μέσα σε (πρόθεση με δοτική, δηλώνει τόπο)
ὃν	ὅς	pronoun	I.4: πάθεν ἄλγεα ὃν κατὰ θυμόν	εδώ «δικό του» (αιτιατική αρσενικού του ὅς, ἥ, ὅ, εδώ κτητικά)
κατὰ	κατά	prep	I.4: ὃν κατὰ θυμόν	σε, κατά (πρόθεση με αιτιατική)
ἥν	ὅς	pronoun	I.5: ἀρνύμενος ἥν τε ψυχὴν	δική του (αιτιατική θηλυκού του ὅς, ἥ, ὅ, εδώ κτητικά)
τε	τε	particle	I.5: ἥν τε ψυχὴν καὶ νόστον	και (συχνά σε ζεύγος με το καί)
ἀλλ᾽	ἀλλά	conj	I.6: ἀλλ' οὐδ' ὣς ἑτάρους ἐρρύσατο	αλλά (πλήρης τύπος ἀλλά)
οὐδ᾽	οὐδέ	particle	I.6: ἀλλ' οὐδ' ὣς	και δεν (συνήθως επαναλαμβάνεται, πλήρης τύπος οὐδέ)
ὣς	ὅς	pronoun	I.6: οὐδ' ὣς ἑτάρους ἐρρύσατο	δικοί του (αιτιατική πληθυντικού του ὅς, ἥ, ὅ, εδώ κτητικά)
περ	περ	particle	I.6: ἐρρύσατο, ἱέμενός περ	παραχωρητικό μόριο: «αν και, μολονότι»
αὐτῶν	αὐτός	pronoun	I.7: αὐτῶν γὰρ σφετέρῃσιν	των ίδιων (γενική πληθυντικού του αὐτός, «ο ίδιος»)
γὰρ	γάρ	particle	I.7: αὐτῶν γὰρ σφετέρῃσιν	επεξηγηματικό μόριο: «γιατί, διότι»
σφετέρῃσιν	σφέτερος	pronoun	I.7: σφετέρῃσιν ἀτασθαλίῃσιν	δοτική πληθυντικού του σφέτερος, «δικός τους»
οἳ	ὅς	pronoun	I.8: νήπιοι, οἳ κατὰ βοῦς Ὑπερίονος	οι οποίοι
Ὑπερίονος	Ὑπερίων	name	I.8: βοῦς Ὑπερίονος Ἠελίοιο	του Υπερίωνα (πάγιο επίθετο του Ήλιου, κυριολεκτικά «αυτός που βαδίζει από πάνω», Ὑπερίων)
Ἠελίοιο	Ἥλιος	name	I.8: Ὑπερίονος Ἠελίοιο ἤσθιον	του Ήλιου (γενική του Ἥλιος)
αὐτὰρ	αὐτάρ	particle	I.9: αὐτὰρ ὁ τοῖσιν ἀφείλετο	αλλά, όμως
ὁ	ὅς	pronoun	I.9: αὐτὰρ ὁ τοῖσιν	δικό τους (ουδέτερο του ὅς, ἥ, ὅ, εδώ κτητικά), αναφέρεται στο ἦμαρ
τοῖσιν	ὅ	pronoun	I.9: αὐτὰρ ὁ τοῖσιν ἀφείλετο	σε αυτούς (δοτική πληθυντικού του ὁ, ἡ, τό, το άρθρο — και στον Όμηρο, αντωνυμία γ' προσώπου)
τῶν	ὅ	pronoun	I.10: τῶν ἁμόθεν γε, θεά	εδώ «γι' αυτούς, γι' αυτό» (γενική πληθυντικού αρσενικού ή ουδέτερου του ὁ, ἡ, τό)
ἁμόθεν	ἁμόθεν	adv	I.10: τῶν ἁμόθεν γε, θεά	από κάπου, από κάποιο σημείο
γε	γε	particle	I.10: ἁμόθεν γε, θεά	εδώ διευκρινιστικό μόριο: «λοιπόν, γι' αυτό ακριβώς...»
εἰπὲ	λέγω	verb	I.10: εἰπὲ καὶ ἡμῖν	πες (προστακτική αορίστου του λέγω)
ἡμῖν	ἡμεῖς	pronoun	I.10: εἰπὲ καὶ ἡμῖν	σε εμάς, μας (δοτική του ἡμεῖς)
Ἔνθ᾽	ἔνθα	adv	I.11: Ἔνθ' ἄλλοι μὲν πάντες	τότε, εκεί
ἄλλοι	ἄλλος	adj	I.11: Ἔνθ' ἄλλοι μὲν πάντες	άλλοι (πληθυντικός του ἄλλος)
μὲν	μέν	particle	I.11: ἄλλοι μὲν πάντες	μόριο σε ζεύγος με το δέ, χρησιμοποιείται για αντιπαράθεση δύο πραγμάτων· δεν μεταφράζεται
πάντες	πᾶς	adj	I.11: ἄλλοι μὲν πάντες	όλοι (πληθυντικός του πᾶς)
ὅσοι	ὅσος	pronoun	I.11: πάντες, ὅσοι φύγον αἰπὺν ὄλεθρον	όσοι
οἴκοι	οἶκος	adv	I.12: οἴκοι ἔσαν	στο σπίτι
ἔσαν	εἰμί	verb	I.12: οἴκοι ἔσαν	ήταν (παρατατικός του εἰμί, «είμαι»)
πεφευγότες	φεύγω	verb	I.12: πόλεμόν τε πεφευγότες ἠδὲ θάλασσαν	έχοντας γλιτώσει (μετοχή παρακειμένου του φεύγω)
ἠδὲ	ἠδέ	particle	I.12: πεφευγότες ἠδὲ θάλασσαν	και, καθώς επίσης
τὸν	ὅ	pronoun	I.13: τὸν δ' οἶον	αυτόν, τον
οἶον	οἶος	adj	I.13: τὸν δ' οἶον, νόστου κεχρημένον	μόνο (αιτιατική του οἶος)
πότνι᾽	πότνια	noun	I.14: νύμφη πότνι' ἔρυκε Καλυψώ	κυρά, δέσποινα (πλήρης τύπος πότνια)
Καλυψὼ	Καλυψώ	name	I.14: νύμφη πότνι' ἔρυκε Καλυψώ	Καλυψώ
δῖα	δῖος	adj	I.14: δῖα θεάων	θεϊκή, ένδοξη, λαμπρή
ὅτε	ὅτε	conj	I.16: ἀλλ' ὅτε δὴ ἔτος ἦλθε	όταν
δὴ	δή	particle	I.16: ὅτε δὴ ἔτος ἦλθε	επιτατικό μόριο, «πράγματι, βέβαια, ακριβώς», ή λογική μετάβαση «και ήδη τώρα»
τῷ	ὅ	pronoun	I.17: τῷ οἱ ἐπεκλώσαντο θεοὶ	εδώ «στον οποίο»
οἱ	αὐτός	pronoun	I.17: τῷ οἱ ἐπεκλώσαντο θεοὶ	σε αυτόν, του
οἶκόνδε	οἶκος	adv	I.17: θεοὶ οἶκόνδε νέεσθαι	προς το σπίτι (πρβλ. οἶκος, «σπίτι»)
εἰς	εἰς	prep	I.18: εἰς Ἰθάκην	σε, προς (με αιτιατική, δηλώνει κατεύθυνση)
Ἰθάκην	Ἰθάκη	name	I.18: εἰς Ἰθάκην	Ιθάκη (αιτιατική του Ἰθάκη)
πεφυγμένος ἦεν	φεύγω	verb	I.18: πεφυγμένος ἦεν ἀέθλων	είχε γλιτώσει (μέσος υπερσυντέλικος του φεύγω)
μετὰ	μετά	prep	I.19: μετ' ἀθανάτοισι φίλοισι	με, μαζί με (με δοτική)
οἷσι	ὅς	pronoun	I.19: μετ' ἀθανάτοισι… οἷσι φίλοισι	δικοί του
ἅπαντες	ἅπας	adj	I.19: θεοὶ δ' ἐλέαιρον ἅπαντες	= πάντες («όλοι»)
νόσφι	νόσφι	prep	I.20: νόσφι Ποσειδάωνος	εκτός από
Ποσειδάωνος	Ποσειδῶν	name	I.20: νόσφι Ποσειδάωνος	του Ποσειδώνα (γενική του Ποσειδῶν)
ἀσπερχὲς	ἀσπερχές	adv	I.20: ὁ δ' ἀσπερχὲς μενέαινεν	ασταμάτητα, αδιάκοπα
πάρος	πάρος	adv	I.21: πάρος ἣν γαῖαν ἱκέσθαι	μέχρι, πριν
ἣν	ὅς	pronoun	I.21: πάρος ἣν γαῖαν ἱκέσθαι	εδώ «στη δική του»
