form	lemma	pos	context	meaning
ἱερόν	ἱερός	adj	I.2: Τροίης ἱερὸν πτολίεθρον ἔπερσεν	ср. род от ἱερός, священный
πτολίεθρον	πτολίεθρον	noun	I.2: Τροίης ἱερὸν πτολίεθρον ἔπερσεν	эпич. форма слова πόλις, город
ἔπερσεν	πέρθω	verb	I.2: Τροίης ἱερὸν πτολίεθρον ἔπερσεν	разрушил (прошедшее законченное время, аорист, активного залога от πέρθω)
νόον	νοῦς	noun	I.3: καὶ νόον ἔγνω	ум (винит. п. ед. ч от νόος)
ἄλγεα	ἄλγος	noun	I.4: ἐν πόντῳ πάθεν ἄλγεα	боли, страдания (множ. ч. от ἄλγος)
θυμόν	θυμός	noun	I.4: πάθεν ἄλγεα ὃν κατὰ θυμόν	духе (вин. п. от θυμός)
νόστον	νόστος	noun	I.5: ψυχὴν καὶ νόστον ἑταίρων	возвращение (вин. п. от νόστος)
ἑταίρων	ἑταῖρος	noun	I.5: ψυχὴν καὶ νόστον ἑταίρων	товарищей (род. п. множ. ч. от ἑταίρος)
ἑτάρους	ἑταῖρος	noun	I.6: ἀλλ' οὐδ' ὣς ἑτάρους ἐρρύσατο	= ἑταίρους (вин. п. множ. ч.)
ἀρνύμενος	ἄρνυμαι	verb	I.5: ἀρνύμενος ἥν τε ψυχὴν καὶ νόστον	причастие муж. р. в именит. падеже от ἄρνυμαι, бороться за что-то, добывать, снискивать
ἐρρύσατο	ῥύομαι	verb	I.6: ἀλλ' οὐδ' ὣς ἑτάρους ἐρρύσατο	спас (аорист медиального залога от ῥύομαι)
ἀτασθαλίῃσιν	ἀτασθαλία	noun	I.7: σφετέρῃσιν ἀτασθαλίῃσιν ὄλοντο	дат. п. множ. ч. от ἀτασθαλία нечестивость, преступная безответственность, грех самонадеянности
νήπιοι	νήπιος	adj	I.8: νήπιοι, οἳ κατὰ βοῦς Ὑπερίονος	неразумные (множ. ч. муж. р. от νήπιος младенец, неразумный, букв. неговорящий)
βοῦς	βοῦς	noun	I.8: οἳ κατὰ βοῦς Ὑπερίονος Ἠελίοιο	быков (вин. п. множ. ч. от βοῦς)
ἤσθιον	ἐσθίω	verb	I.9: ἤσθιον· αὐτὰρ ὁ τοῖσιν	поели (прошедшее незавершенное время, имперфект, от ἐσθίω)
ἀφείλετο	ἀφαιρέω	verb	I.9: τοῖσιν ἀφείλετο νόστιμον ἦμαρ	был отнят (медиальный аорист от ἀφαιρέω, отнимать)
νόστιμον	νόστιμος	adj	I.9: ἀφείλετο νόστιμον ἦμαρ	возвратный (ср. νόστος, возвращение)
αἰπύν	αἰπύς	adj	I.11: ὅσοι φύγον αἰπὺν ὄλεθρον	скоропостижной (вин. п. от αἰπύς, крутой, отвесный, стремительный, бурный)
πόλεμον	πόλεμος	noun	I.12: πόλεμόν τε πεφευγότες ἠδὲ θάλασσαν	войну (вин. п. от πόλεμος)
θάλασσαν	θάλασσα	noun	I.12: πόλεμόν τε πεφευγότες ἠδὲ θάλασσαν	море (вин. п. от θάλασσα)
κεχρημένον	χράομαι	verb	I.13: τὸν δ' οἶον, νόστου κεχρημένον	лишенного (перфектное причастие от χράομαι зд. нуждаться)
ἔρυκε	ἐρύκω	verb	I.14: νύμφη πόντι' ἔρυκε Καλυψώ	держала (имперфект от ἐρύκω, сдерживать, удерживать)
θεάων	θεά	noun	I.14: δῖα θεάων	богинь (род. п. множ. ч. от θεά)
γλαφυροῖσι	γλαφυρός	adj	I.15: ἐν σπέσσι γλαφυροῖσι	глубоких (дат. п. множ. ч. от γλαφυρός, выдолбленный, полый, глубокий)
λιλαιομένη	λιλαίομαι	verb	I.15: λιλαιομένη πόσιν εἶναι	страстно желая (причастие жен. р. от λιλαίομαι, тосковать, страстно желать)
πόσιν	πόσις	noun	I.15: λιλαιομένη πόσιν εἶναι	супругом (вин. п. от πόσις)
ἦλθε	ἔρχομαι	verb	I.16: ἀλλ' ὅτε δὴ ἔτος ἦλθε	пришел (активный аорист от ἔρχομαι)
περιπλομένων	περιπέλομαι	verb	I.16: ἔτος ἦλθε περιπλομένων ἐνιαυτῶν	род. п. множ. ч. от причастия настоящего времени от περιπέλομαι, двигаться по кругу, обращаться; зд. Часть конструкции, переводится как «когда обратились»)
ἐνιαυτῶν	ἐνιαυτός	noun	I.16: περιπλομένων ἐνιαυτῶν	времена (род. п. множ. ч. от ἐνιαυτός, долгий период времени, цикл, год)
νέεσθαι	νέομαι	verb	I.17: ἐπεκλώσαντο θεοὶ οἰκόνδε νέεσθαι	отправиться (инфинитив от νέομαι)
ἀέθλων	ἄεθλος	noun	I.18: οὐδ' ἔνθα πεφυγμένος ἦεν ἀέθλων	испытаний (род. п. множ. ч. от ἆθλον состязание, борьба, испытание)
φίλοισι	φίλος	adj	I.19: καὶ μετ' ἀθανάτοισι φίλοισι	друзьями (дат. п. множ. ч. от φίλος)
ἐλέαιρον	ἐλεαίρω	verb	I.19: θεοὶ δ' ἐλέαιρον ἅπαντες	были милостивы (имперфект от ἐλεαίρω)
μενέαινεν	μενεαίνω	verb	I.20: ὁ δ' ἀσπερχὲς μενέαινεν	гневался (имперфект от μενεαίνω, гневаться, быть в ярости)
ἀντιθέῳ	ἀντίθεος	adj	I.21: ἀντιθέῳ Ὀδυσῆι πάρος ἣν γαῖαν ἱκέσθαι	на богоравного (дат. п. от ἀντίθεος)
γαῖαν	γαῖα	noun	I.21: πάρος ἣν γαῖαν ἱκέσθαι	землю (вин. п. от γαῖα)
μοι	ἐγώ	pron	I.1: Ἄνδρα μοι ἔννεπε	мне (дательный падеж от ἐγώ)
μοῦσα	μοῦσα	noun	I.1: Ἄνδρα μοι ἔννεπε, μοῦσα	муза
ὃς	ὅς	pron	I.1: ὃς μάλα πολλὰ πλάγχθη	который
μάλα	μάλα	adv	I.1: ὃς μάλα πολλὰ πλάγχθη	очень
πολλὰ	πολύς	adj	I.1: μάλα πολλὰ πλάγχθη	много (множ. число среднего рода от πολύς, πολλή, πολύ многий)
ἐπεὶ	ἐπεί	conj	I.2: πλάγχθη, ἐπεὶ Τροίης ἱερὸν πτολίεθρον	когда
Τροίης	Τροία	name	I.2: ἐπεὶ Τροίης ἱερὸν πτολίεθρον	родит. п. ед. ч.
πολλῶν	πολύς	adj	I.3: πολλῶν δ' ἀνθρώπων ἴδεν ἄστεα	родит. п. множ. ч. от πολύς
δ᾽	δέ	particle	I.3: πολλῶν δ᾽ ἀνθρώπων	соединительная частица δέ (а, же, а также)
καὶ	καί	conj	I.3: καὶ νόον ἔγνω	и
ὅ	ὅς	pron	I.3-4: ὅ γ' ἐν πόντῳ πάθεν	которое, что (ср. род)
γ᾽	γε	particle	I.4: ὅ γ' ἐν πόντῳ πάθεν	частица γε (зд. в значении усиления: а также и, а еще и, к тому же)
ἐν	ἐν	prep	I.4: ἐν πόντῳ πάθεν ἄλγεα	в, внутри (предлог с дат. п., выражает место)
ὃν	ὅς	pron	I.4: πάθεν ἄλγεα ὃν κατὰ θυμόν	зд. своем (вин. п. муж. р. от ὅς, ἥ, ὅ зд. свой)
κατὰ	κατά	prep	I.4: ὃν κατὰ θυμόν	в (предлог с вин. п.)
ἥν	ὅς	pron	I.5: ἀρνύμενος ἥν τε ψυχὴν	свою (вин. п. жен. р. от ὅς, ἥ, ὅ зд. свой)
τε	τε	particle	I.5: ἥν τε ψυχὴν καὶ νόστον	и (часто в паре с καί)
ἀλλ᾽	ἀλλά	conj	I.6: ἀλλ' οὐδ' ὣς ἑτάρους ἐρρύσατο	но (полная форма ἀλλά)
οὐδ᾽	οὐδέ	particle	I.6: ἀλλ' οὐδ' ὣς	и не (обычно повторяется, полная форма οὐδέ)
ὣς	ὅς	pron	I.6: οὐδ' ὣς ἑτάρους ἐρρύσατο	своих (вин. п. множ. ч. от ὅς, ἥ, ὅ зд. свой)
περ	περ	particle	I.6: ἐρρύσατο, ἱέμενός περ	уступительная частица: хотя, хоть и, пусть и
αὐτῶν	αὐτός	pron	I.7: αὐτῶν γὰρ σφετέρῃσιν	самих (род. п. множ. ч. от αὐτός сам)
γὰρ	γάρ	particle	I.7: αὐτῶν γὰρ σφετέρῃσιν	пояснительная частица: потому что, так как
σφετέρῃσιν	σφέτερος	pron	I.7: σφετέρῃσιν ἀτασθαλίῃσιν	дат. п. множ. ч. от σφέτερος их
οἳ	ὅς	pron	I.8: νήπιοι, οἳ κατὰ βοῦς Ὑπερίονος	которые
Ὑπερίονος	Ὑπερίων	name	I.8: βοῦς Ὑπερίονος Ἠελίοιο	Гипериона (постоянный эпитет Гелиоса, букв. «идущий сверху», Ὑπερίων)
Ἠελίοιο	Ἥλιος	name	I.8: Ὑπερίονος Ἠελίοιο ἤσθιον	Гелиоса (род. п. от Ἥλιος)
αὐτὰρ	αὐτάρ	particle	I.9: αὐτὰρ ὁ τοῖσιν ἀφείλετο	а, однако
ὁ	ὅς	pron	I.9: αὐτὰρ ὁ τοῖσιν	их (ср. род от ὅς, ἥ, ὅ зд. свой), относится к ἦμαρ
τοῖσιν	ὅ	pron	I.9: αὐτὰρ ὁ τοῖσιν ἀφείλετο	им, у них (дат. п. множ. ч. от ὁ, ἡ, τό, артикль и — у Гомера — местоимение 3го лица)
τῶν	ὅ	pron	I.10: τῶν ἁμόθεν γε, θεά	зд. о них, об этом (род. п. множ. ч. муж. или сред. р. от ὁ, ἡ, τό)
ἁμόθεν	ἁμόθεν	adv	I.10: τῶν ἁμόθεν γε, θεά	откуда-либо, с какого-либо места
γε	γε	particle	I.10: ἁμόθεν γε, θεά	зд. уточняющая частица: «вот об этом-то...»
εἰπὲ	λέγω	verb	I.10: εἰπὲ καὶ ἡμῖν	расскажи (аорист, повелительное наклонение, от λέγω)
ἡμῖν	ἡμεῖς	pron	I.10: εἰπὲ καὶ ἡμῖν	нам (дат. п. от ἡμεῖς)
Ἔνθ᾽	ἔνθα	adv	I.11: Ἔνθ' ἄλλοι μὲν πάντες	тогда, там
ἄλλοι	ἄλλος	adj	I.11: Ἔνθ' ἄλλοι μὲν πάντες	другие (множ. ч. от ἄλλος)
μὲν	μέν	particle	I.11: ἄλλοι μὲν πάντες	частица, парная с δέ, нужна для противопоставления двух вещей друг другу, не переводится
πάντες	πᾶς	adj	I.11: ἄλλοι μὲν πάντες	все (множ. ч. от πᾶς)
ὅσοι	ὅσος	pron	I.11: πάντες, ὅσοι φύγον αἰπὺν ὄλεθρον	которые
οἴκοι	οἶκος	adv	I.12: οἴκοι ἔσαν	дома
ἔσαν	εἰμί	verb	I.12: οἴκοι ἔσαν	были (имперфект от εἰμί, быть)
πεφευγότες	φεύγω	verb	I.12: πόλεμόν τε πεφευγότες ἠδὲ θάλασσαν	избежав (перфектное причастие от φεύγω)
ἠδὲ	ἠδέ	particle	I.12: πεφευγότες ἠδὲ θάλασσαν	а также
τὸν	ὅ	pron	I.13: τὸν δ' οἶον	его
οἶον	οἶος	adj	I.13: τὸν δ' οἶον, νόστου κεχρημένον	одного (вин. п. от οἶος)
πότνι᾽	πότνια	noun	I.14: νύμφη πότνι' ἔρυκε Καλυψώ	госпожа, владычица (полная форма πότνια)
Καλυψὼ	Καλυψώ	name	I.14: νύμφη πότνι' ἔρυκε Καλυψώ	Калипсо
δῖα	δῖος	adj	I.14: δῖα θεάων	божественная, славная, сияющая
ὅτε	ὅτε	conj	I.16: ἀλλ' ὅτε δὴ ἔτος ἦλθε	когда
δὴ	δή	particle	I.16: ὅτε δὴ ἔτος ἦλθε	усилительная частица, «поистине, конечно, именно», либо логический переход «и вот уже»
τῷ	ὅ	pron	I.17: τῷ οἱ ἐπεκλώσαντο θεοὶ	зд. в который
οἱ	αὐτός	pron	I.17: τῷ οἱ ἐπεκλώσαντο θεοὶ	ему
οἶκόνδε	οἶκος	adv	I.17: θεοὶ οἶκόνδε νέεσθαι	домой (ср. οἶκος, дом)
εἰς	εἰς	prep	I.18: εἰς Ἰθάκην	в, на (с вин. п., выражает направление)
Ἰθάκην	Ἰθάκη	name	I.18: εἰς Ἰθάκην	Итаку (вин. п. от Ἰθάκη)
πεφυγμένος ἦεν	φεύγω	verb	I.18: πεφυγμένος ἦεν ἀέθλων	избежал (медиальный плюсквамперфект от φεύγω)
μετὰ	μετά	prep	I.19: μετ' ἀθανάτοισι φίλοισι	с, вместе с (с дат. п.)
οἷσι	ὅς	pron	I.19: μετ' ἀθανάτοισι… οἷσι φίλοισι	своими
ἅπαντες	ἅπας	adj	I.19: θεοὶ δ' ἐλέαιρον ἅπαντες	= πάντες
νόσφι	νόσφι	prep	I.20: νόσφι Ποσειδάωνος	кроме
Ποσειδάωνος	Ποσειδῶν	name	I.20: νόσφι Ποσειδάωνος	Посейдона (род. п. от Ποσειδῶν)
ἀσπερχὲς	ἀσπερχές	adv	I.20: ὁ δ' ἀσπερχὲς μενέαινεν	беспрестанно, без устали
πάρος	πάρος	adv	I.21: πάρος ἣν γαῖαν ἱκέσθαι	пока не, до тех пор, как
ἣν	ὅς	pron	I.21: πάρος ἣν γαῖαν ἱκέσθαι	зд. в свою
