form	lemma	pos	context	meaning
βαθὺ	βαθύς	adj	IX.134: λείη· μάλα κεν βαθὺ λήϊον	глубокий, густой, обильный (вин. п. ед. ч. ср. рода)
λήϊον	λήϊον	noun	IX.134: κεν βαθὺ λήϊον αἰεί	хлебная нива, посев
αἰεί	αἰεί	adv	IX.134: βαθὺ λήϊον αἰεί	всегда (эпич. форма = аттич. ἀεί)
ὥρας	ὥρα	noun	IX.135: εἰς ὥρας ἀμῶιεν, ἐπεὶ	зд. постоянно (во все сезоны, из сезона в сезон)
ἀμῶιεν	ἀμάω	verb	IX.135: εἰς ὥρας ἀμῶιεν, ἐπεὶ μάλα	жали бы, пожинали бы (акт. през. оптатив + κεν)
ἐπεὶ	ἐπεί	conj	IX.135: ἀμῶιεν, ἐπεὶ μάλα πῖαρ	поскольку, так как
πῖαρ	πῖαρ	noun	IX.135: ἐπεὶ μάλα πῖαρ ὑπ' οὖδας	тучный, плодородный (им. п. ед. ч. ср. рода)
ὑπ᾽	ὑπό	prep	IX.135: μάλα πῖαρ ὑπ' οὖδας	снизу (= ὑπό)
οὖδας	οὖδας	noun	IX.135: πῖαρ ὑπ' οὖδας	почва, земля (им. п. ед. ч. ср. рода)
λιμὴν	λιμήν	noun	IX.136: ἐν δὲ λιμὴν εὔορμος, ἵν'	гавань (им. п. ед. ч.)
εὔορμος	εὔορμος	adj	IX.136: δὲ λιμὴν εὔορμος, ἵν' οὐ	удобная для стоянки кораблей (εὖ + ὅρμος)
ἵν᾽	ἵνα	conj	IX.136: εὔορμος, ἵν' οὐ χρεὼ πείσματός	где (= ἵνα)
χρεὼ	χρεώ	noun	IX.136: ἵν' οὐ χρεὼ πείσματός ἐστιν	нужда, необходимость (οὐ χρεώ = нет необходимости + род. п.)
πείσματός	πεῖσμα	noun	IX.136: οὐ χρεὼ πείσματός ἐστιν	зд. в канате, швартове (род. п. ед. ч.)
οὔτ᾽	οὔτε	conj	IX.137: οὔτ' εὐνὰς βαλέειν οὔτε	ни, и не (= οὔτε)
εὐνὰς	εὐνή	noun	IX.137: οὔτ' εὐνὰς βαλέειν οὔτε πρυμνήσι'	зд. якорные камни, якоря (вин. п. мн. ч.)
βαλέειν	βάλλω	verb	IX.137: εὐνὰς βαλέειν οὔτε πρυμνήσι'	бросить (инфинитив акт. аориста, эпич. расшир. -έειν)
πρυμνήσι᾽	πρυμνήσιον	noun	IX.137: οὔτε πρυμνήσι' ἀνάψαι	кормовые канаты (вин. п. мн. ч.)
ἀνάψαι	ἀνάπτω	verb	IX.137: πρυμνήσι' ἀνάψαι	привязать, прикрепить (инфинитив акт. аориста)
ἀλλ᾽	ἀλλά	conj	IX.138: ἀλλ' ἐπικέλσαντας μεῖναι χρόνον	но (= ἀλλά)
ἐπικέλσαντας	ἐπικέλλω	verb	IX.138: ἀλλ' ἐπικέλσαντας μεῖναι χρόνον	причалившим, приставшим к берегу (прич. акт. аориста, вин. п. мн. ч.)
μεῖναι	μένω	verb	IX.138: ἐπικέλσαντας μεῖναι χρόνον εἰς	оставаться (инфинитив акт. аориста)
χρόνον	χρόνος	noun	IX.138: μεῖναι χρόνον εἰς ὅ κεν	время
εἰς ὅ	εἰς ὅ	conj	IX.138: χρόνον εἰς ὅ κεν αὐτῶν	в которое (= пока не)
αὐτῶν	αὐτός	pronoun	IX.138: εἰς ὅ κεν αὐτῶν	их (род. п. мн. ч.)
ἐποτρύνηι	ἐποτρύνω	verb	IX.139: θυμὸς ἐποτρύνηι καὶ ἐπιπνεύσωσιν	побудит, подтолкнёт (акт. през. конъюнктив + κεν = будущее время)
ἐπιπνεύσωσιν	ἐπιπνέω	verb	IX.139: ἐποτρύνηι καὶ ἐπιπνεύσωσιν ἀῆται	подуют (акт. аорист конъюнктив)
ἀῆται	ἀήτης	noun	IX.139: καὶ ἐπιπνεύσωσιν ἀῆται	ветры (им. п. мн. ч.; эпич. производное от ἄημι «веять, дуть»)
αὐτὰρ	αὐτάρ	conj	IX.140: αὐτὰρ ἐπὶ κρατὸς λιμένος	но, однако, между тем
κρατὸς	κράς	noun	IX.140: αὐτὰρ ἐπὶ κρατὸς λιμένος ῥέει	на вершине, на краю (род. п. ед. ч.; эпич., аттич. скорее κεφαλή)
λιμένος	λιμήν	noun	IX.140: ἐπὶ κρατὸς λιμένος ῥέει ἀγλαὸν	гавани (род. п. ед. ч.)
ῥέει	ῥέω	verb	IX.140: λιμένος ῥέει ἀγλαὸν ὕδωρ	течёт (акт. презенс)
ἀγλαὸν	ἀγλαός	adj	IX.140: ῥέει ἀγλαὸν ὕδωρ	светлая, прекрасная, блистательная (вин. п. ед. ч. ср. рода)
ὕδωρ	ὕδωρ	noun	IX.140: ἀγλαὸν ὕδωρ	вода
κρήνη	κρήνη	noun	IX.141: κρήνη ὑπὸ σπείους· περὶ	источник, родник
ὑπὸ	ὑπό	prep	IX.141: κρήνη ὑπὸ σπείους· περὶ δ'	под
σπείους	σπέος	noun	IX.141: κρήνη ὑπὸ σπείους· περὶ	пещерой (род. п. ед. ч.)
περὶ	περί	prep	IX.141: σπείους· περὶ δ' αἴγειροι	вокруг
αἴγειροι	αἴγειρος	noun	IX.141: περὶ δ' αἴγειροι πεφύασιν	тополя (им. п. мн. ч.)
πεφύασιν	φύω	verb	IX.141: δ' αἴγειροι πεφύασιν	выросли, растут (акт. перфект)
ἔνθα	ἔνθα	adv	IX.142: ἔνθα κατεπλέομεν, καί τις	туда
κατεπλέομεν	καταπλέω	verb	IX.142: ἔνθα κατεπλέομεν, καί τις θεὸς	приплывали, входили (в гавань) (акт. имперфект)
τις	τις	pronoun	IX.142: κατεπλέομεν, καί τις θεὸς ἡγεμόνευεν	некий, какой-то (им. п. ед. ч.)
ἡγεμόνευεν	ἡγεμονεύω	verb	IX.142: καί τις θεὸς ἡγεμόνευεν	вёл, указывал путь (акт. имперфект)
νύκτα	νύξ	noun	IX.143: νύκτα δι' ὀρφναίην, οὐδὲ	ночь (вин. п. ед. ч.)
δι᾽	διά	prep	IX.143: νύκτα δι' ὀρφναίην, οὐδὲ προυφαίνετ'	через, сквозь (= διά)
ὀρφναίην	ὀρφναῖος	adj	IX.143: νύκτα δι' ὀρφναίην, οὐδὲ	тёмную, мрачную (вин. п. ед. ч. жен. рода)
προυφαίνετ᾽	προφαίνομαι	verb	IX.143: οὐδὲ προυφαίνετ' ἰδέσθαι	показывался, становился явным (мед. имперфект, = προὐφαίνετο)
ἰδέσθαι	ὁράω	verb	IX.143: προυφαίνετ' ἰδέσθαι	зд. со значением цели, чтобы увидеться (инфинитив мед. аориста)
ἀήρ	ἀήρ	noun	IX.144: ἀὴρ γὰρ περὶ νηυσὶ	нижний воздух, туман, мгла (им. п. ед. ч.)
νηυσί	ναῦς	noun	IX.144: ἀὴρ γὰρ περὶ νηυσὶ βαθεῖ'	вокруг кораблей (дат. п. мн. ч.; эпич., ср. аттич. ναυσί)
βαθεῖ᾽	βαθύς	adj	IX.144: περὶ νηυσὶ βαθεῖ' ἦν, οὐδὲ	густая, плотная (им. п. ед. ч. жен. рода, = βαθεῖα)
ἦν	εἰμί	verb	IX.144: νηυσὶ βαθεῖ' ἦν, οὐδὲ σελήνη	была (акт. имперфект)
σελήνη	σελήνη	noun	IX.144: ἦν, οὐδὲ σελήνη	луна (им. п. ед. ч.)
οὐρανόθεν	οὐρανόθεν	adv	IX.145: οὐρανόθεν προύφαινε, κατείχετο δὲ	с неба (нареч. от οὐρανός с суфф. -θεν)
προύφαινε	προφαίνω	verb	IX.145: οὐρανόθεν προύφαινε, κατείχετο δὲ	являла, светила (акт. имперфект)
κατείχετο	κατέχω	verb	IX.145: προύφαινε, κατείχετο δὲ νεφέεσσιν	удерживалась, скрывалась (пасс. имперфект)
νεφέεσσιν	νέφος	noun	IX.145: κατείχετο δὲ νεφέεσσιν	облаками (дат. п. мн. ч.; оконч. -εσσι(ν) = гомеровский дат. мн.)
ἔνθ᾽	ἔνθα	adv	IX.146: ἔνθ' οὔ τις τὴν νῆσον	там (= ἔνθα)
οὔ τις	τις	pronoun	IX.146: ἔνθ' οὔ τις τὴν νῆσον	никто (οὔ + τις вместе)
ἐσέδρακεν	δέρκομαι	verb	IX.146: τὴν νῆσον ἐσέδρακεν ὀφθαλμοῖσιν	увидел, различил (акт. перфект)
ὀφθαλμοῖσιν	ὀφθαλμός	noun	IX.146: ἐσέδρακεν ὀφθαλμοῖσιν	глазами (дат. п. мн. ч.; оконч. -οισι(ν) = эпич. дат. мн.)
κύματα	κῦμα	noun	IX.147: οὔτ' οὖν κύματα μακρὰ	волны (вин. п. мн. ч.)
μακρὰ	μακρός	adj	IX.147: κύματα μακρὰ κυλινδόμενα προτὶ	длинные (вин. п. мн. ч. ср. рода)
κυλινδόμενα	κυλίνδω	verb	IX.147: μακρὰ κυλινδόμενα προτὶ χέρσον	катящиеся (прич. мед. презенса, вин. п. мн. ч. ср. рода)
προτὶ	προτί	prep	IX.147: κυλινδόμενα προτὶ χέρσον	к, по направлению к
χέρσον	χέρσος	noun	IX.147: προτὶ χέρσον εἰσίδομεν	суша, берег (вин. п. ед. ч.)
εἰσίδομεν	εἰσοράω	verb	IX.148: χέρσον εἰσίδομεν, πρὶν νῆας	увидели (акт. аорист)
πρὶν	πρίν	conj	IX.148: εἰσίδομεν, πρὶν νῆας ἐϋσσέλμους	прежде чем (+ инфинитив)
νῆας	ναῦς	noun	IX.148: πρὶν νῆας ἐϋσσέλμους ἐπικέλσαι	корабли (вин. п. мн. ч.)
ἐϋσσέλμους	ἐΰσσελμος	adj	IX.148: νῆας ἐϋσσέλμους ἐπικέλσαι	крепкопалубные (вин. п. мн. ч. жен. рода; εὖ + σέλμα «палуба, скамья гребца»)
ἐπικέλσαι	ἐπικέλλω	verb	IX.148: ἐϋσσέλμους ἐπικέλσαι	причалить (инфинитив акт. аориста)
κελσάσηισι	κέλλω	verb	IX.149: κελσάσηισι δὲ νηυσὶ καθείλομεν	причалившим (дат. п. мн. ч. прич. акт. аориста)
καθείλομεν	καθαιρέω	verb	IX.149: δὲ νηυσὶ καθείλομεν ἱστία	спустили, сняли (акт. аорист)
ἱστία	ἱστίον	noun	IX.149: καθείλομεν ἱστία πάντα	паруса (вин. п. мн. ч.)
ἐκ	ἐκ	prep	IX.150: ἐκ δὲ καὶ αὐτοὶ βῆμεν	наружу (тмесис — приставка, оторвавшаяся от βῆμεν)
αὐτοὶ	αὐτός	pronoun	IX.150: ἐκ δὲ καὶ αὐτοὶ βῆμεν	сами (им. п. мн. ч.)
βῆμεν	βαίνω	verb	IX.150: καὶ αὐτοὶ βῆμεν ἐπὶ ῥηγμῖνι	вышли, ступили (акт. аорист)
ῥηγμῖνι	ῥηγμίν	noun	IX.150: βῆμεν ἐπὶ ῥηγμῖνι θαλάσσης	на берег, прибрежную полосу (дат. п. ед. ч.; произв. от ῥήγνυμι «ломать»: место, где волны разбиваются о берег)
θαλάσσης	θάλασσα	noun	IX.150: ἐπὶ ῥηγμῖνι θαλάσσης	моря (род. п. ед. ч.)
ἀποβρίξαντες	ἀποβρίζω	verb	IX.151: ἔνθα δ' ἀποβρίξαντες ἐμείναμεν	уснув, предавшись сну (прич. акт. аориста, им. п. мн. ч. муж. рода)
ἐμείναμεν	μένω	verb	IX.151: ἀποβρίξαντες ἐμείναμεν Ἠῶ δῖαν	стали ждать (акт. аорист)
δῖαν	δῖος	adj	IX.151: ἐμείναμεν Ἠῶ δῖαν	божественную, дивную (вин. п. ед. ч. жен. рода)
