form	lemma	pos	context	meaning
ὑψηλῶν	ὑψηλός	adj	IX.113: ἀλλ' οἵ γ' ὑψηλῶν ὀρέων ναίουσι κάρηνα	высокий
ὀρέων	ὄρος	noun	IX.113: ἀλλ' οἵ γ' ὑψηλῶν ὀρέων ναίουσι κάρηνα	гора
ναίουσι	ναίω	verb	IX.113: οἵ γ' ὑψηλῶν ὀρέων ναίουσι κάρηνα	населять
κάρηνα	κάρηνον	noun	IX.113: ὀρέων ναίουσι κάρηνα	вершина (букв. голова)
θεμιστεύει	θεμιστεύω	verb	IX.114: ἐν σπέεσι γλαφυροῖσι, θεμιστεύει δὲ ἕκαστος	управлять, судить
ἕκαστος	ἕκαστος	pronoun	IX.114: θεμιστεύει δὲ ἕκαστος	каждый
παίδων	παίς	noun	IX.115: παίδων ἠδ' ἀλόχων, οὐδ' ἀλλήλων ἀλέγουσι	ребёнок
ἀλλήλων	ἀλλήλων	pronoun	IX.115: παίδων ἠδ' ἀλόχων, οὐδ' ἀλλήλων ἀλέγουσι	друг друга
ἀλέγουσι	ἀλέγω	verb	IX.115: οὐδ' ἀλλήλων ἀλέγουσι	иметь дело до кого-л., заботиться
νῆσος	νῆσος	noun	IX.116: νῆσος ἔπειτα λάχεια παρὲκ λιμένος τετάνυσται	остров
ἔπειτα	ἔπειτα	adv	IX.116: νῆσος ἔπειτα λάχεια παρὲκ λιμένος	затем, потом
λάχεια	λάχεια	adj	IX.116: νῆσος ἔπειτα λάχεια παρὲκ λιμένος τετάνυσται	плоский либо плодородный (неясно)
παρὲκ	παρέκ	prep	IX.116: λάχεια παρὲκ λιμένος τετάνυσται	за пределами, поблизости
λιμένος	λιμήν	noun	IX.116: λάχεια παρὲκ λιμένος τετάνυσται	гавань
τετάνυσται	τανύω	verb	IX.116: παρὲκ λιμένος τετάνυσται	тянуть; распростёрся (μεδπ.)
σχεδὸν	σχεδόν	adv	IX.117: γαίης Κυκλώπων οὔτε σχεδὸν οὔτ' ἀποτηλοῦ	близко
ἀποτηλοῦ	ἀποτηλοῦ	adv	IX.117: οὔτε σχεδὸν οὔτ' ἀποτηλοῦ	далеко (гапакс)
ὑλήεσσ'	ὑλήεσσα	adj	IX.118: ὑλήεσσ'· ἐν δ' αἶγες ἀπειρέσιαι γεγάασιν	лесистый
αἶγες	αἴξ	noun	IX.118: ἐν δ' αἶγες ἀπειρέσιαι γεγάασιν	коза
ἀπειρέσιαι	ἀπειρέσιος	adj	IX.118: ἐν δ' αἶγες ἀπειρέσιαι γεγάασιν	беспредельный, бесчисленный
γεγάασιν	γίγνομαι	verb	IX.118: αἶγες ἀπειρέσιαι γεγάασιν	рождаться (перф.)
ἄγριαι	ἄγριος	adj	IX.119: ἄγριαι· οὐ μὲν γὰρ πάτος ἀνθρώπων ἀπερύκει	дикий
πάτος	πάτος	noun	IX.119: οὐ μὲν γὰρ πάτος ἀνθρώπων ἀπερύκει	протоптанное место, тропа
ἀπερύκει	ἀπερύκω	verb	IX.119: πάτος ἀνθρώπων ἀπερύκει	удерживать на расстоянии, отпугивать
μιν	μιν	pronoun	IX.120: οὐδέ μιν εἰσοιχνεῦσι κυνηγέται	его, её (косв. п.)
εἰσοιχνεῦσι	εἰσοιχνέω	verb	IX.120: οὐδέ μιν εἰσοιχνεῦσι κυνηγέται	входить
κυνηγέται	κυνηγέτης	noun	IX.120: οὐδέ μιν εἰσοιχνεῦσι κυνηγέται, οἵ τε καθ' ὕλην	охотник (букв. водитель собак)
ὕλην	ὕλη	noun	IX.120: οἵ τε καθ' ὕλην ἄλγεα πάσχουσιν	лес
πάσχουσιν	πάσχω	verb	IX.121: ἄλγεα πάσχουσιν κορυφὰς ὀρέων ἐφέποντες	претерпевать
κορυφὰς	κορυφή	noun	IX.121: ἄλγεα πάσχουσιν κορυφὰς ὀρέων ἐφέποντες	вершина, макушка
ἐφέποντες	ἐφέπω	verb	IX.121: κορυφὰς ὀρέων ἐφέποντες	следовать за кем-то, настигать
ποίμνῃσιν	ποίμνη	noun	IX.122: οὔτ' ἄρα ποίμνῃσιν καταΐσχεται οὔτ' ἀρότοισιν	стадо
καταΐσχεται	κατίσχω	verb	IX.122: οὔτ' ἄρα ποίμνῃσιν καταΐσχεται οὔτ' ἀρότοισιν	занимать, покрывать (μεδπ.)
ἀρότοισιν	ἄροτος	noun	IX.122: ποίμνῃσιν καταΐσχεται οὔτ' ἀρότοισιν	пахота, пашня
χηρεύει	χηρεύω	verb	IX.124: ἀνδρῶν χηρεύει, βόσκει δέ τε μηκάδας αἶγας	быть лишённым
βόσκει	βόσκω	verb	IX.124: ἀνδρῶν χηρεύει, βόσκει δέ τε μηκάδας αἶγας	кормить
μηκάδας	μηκάς	adj	IX.124: βόσκει δέ τε μηκάδας αἶγας	блеющий (блеятель)
νέες	ναῦς	noun	IX.125: οὐ γὰρ Κυκλώπεσσι νέες πάρα μιλτοπάρῃοι	корабль (= νῆες)
πάρα	παρά	prep	IX.125: οὐ γὰρ Κυκλώπεσσι νέες πάρα μιλτοπάρῃοι	у, около, рядом
μιλτοπάρῃοι	μιλτοπάρηος	adj	IX.125: νέες πάρα μιλτοπάρῃοι	краснощёкий
τέκτονες	τέκτων	noun	IX.126: οὐδ' ἄνδρες νηῶν ἔνι τέκτονες, οἵ κε κάμοιεν	плотник, мастер, строитель
κάμοιεν	κάμνω	verb	IX.126: νηῶν ἔνι τέκτονες, οἵ κε κάμοιεν	трудиться, работать (опт. аор.)
ἐϋσσέλμους	εὔσελμος	adj	IX.127: νῆας ἐϋσσέλμους, αἵ κεν τελέοιεν ἕκαστα	с хорошей палубой
τελέοιεν	τελέω	verb	IX.127: νῆας ἐϋσσέλμους, αἵ κεν τελέοιεν ἕκαστα	совершать, выполнять (опт.)
ἕκαστα	ἕκαστος	pronoun	IX.127: αἵ κεν τελέοιεν ἕκαστα	каждое (ср. р. мн. ч.)
ἄστε'	ἄστυ	noun	IX.128: ἄστε' ἐπ' ἀνθρώπων ἱκνεύμεναι	город
ἱκνεύμεναι	ἱκνέομαι	verb	IX.128: ἄστε' ἐπ' ἀνθρώπων ἱκνεύμεναι, οἷά τε πολλὰ	прибывать
περόωσι	περόω	verb	IX.129: ἄνδρες ἐπ' ἀλλήλους νηυσὶν περόωσι θάλασσαν	пересекать, бороздить
